Population,Sample,Mut,Severity,col,row
ESN,13,13,13,1,768
ESN,13,13,13,1,769
ESN,13,13,13,1,770
ESN,13,13,13,1,771
ESN,13,13,13,1,772
ESN,13,13,13,1,773
ESN,13,13,13,1,774
ESN,13,13,13,1,775
MSL,15,15,15,1,776
MSL,15,15,15,1,777
MSL,15,15,15,1,778
MSL,15,15,15,1,779
MSL,15,15,15,1,780
MSL,15,15,15,1,781
MSL,15,15,15,1,782
MSL,15,15,15,1,783
MSL,15,15,15,1,784
MSL,15,15,15,1,785
MSL,15,15,15,1,786
MSL,15,15,15,1,787
MSL,15,15,15,1,788
MSL,15,15,15,1,789
MSL,15,15,15,1,790
MSL,15,15,15,1,791
ESN,13,13,13,1,792
ESN,13,13,13,1,793
YRI,19,19,19,1,794
YRI,19,19,19,1,795
YRI,19,19,19,1,796
YRI,19,19,19,1,797
YRI,19,19,19,1,798
GIH,26,26,26,1,799
GBR,1,1,1,1,800
TSI,25,25,25,1,801
ACB,11,11,11,1,802
ACB,11,11,11,1,803
ACB,11,11,11,1,804
ACB,11,11,11,1,805
ACB,11,11,11,1,806
ACB,11,11,11,1,807
ACB,11,11,11,1,808
ACB,11,11,11,1,809
ACB,11,11,11,1,810
ACB,11,11,11,1,811
ACB,11,11,11,1,812
ESN,13,13,13,1,813
GWD,12,12,12,1,814
GWD,12,12,12,1,815
GWD,12,12,12,1,816
GWD,12,12,12,1,817
GWD,12,12,12,1,818
ACB,11,11,11,1,819
ACB,11,11,11,1,820
ACB,11,11,11,1,821
GWD,12,12,12,1,822
GWD,12,12,12,1,823
GWD,12,12,12,1,824
GWD,12,12,12,1,825
GWD,12,12,12,1,826
GWD,12,12,12,1,827
GWD,12,12,12,1,828
ACB,11,11,11,1,829
PUR,4,4,4,1,830
PUR,4,4,4,1,831
PUR,4,4,4,1,832
PUR,4,4,4,1,833
IBS,7,7,7,1,834
YRI,19,19,19,1,835
YRI,19,19,19,1,836
YRI,19,19,19,1,837
LWK,22,22,22,1,838
LWK,22,22,22,1,839
YRI,19,19,19,1,840
YRI,19,19,19,1,841
YRI,19,19,19,1,842
LWK,22,22,22,1,843
LWK,22,22,22,1,844
LWK,22,22,22,1,845
YRI,19,19,19,1,846
LWK,22,22,22,1,847
LWK,22,22,22,1,848
YRI,19,19,19,1,849
YRI,19,19,19,1,850
YRI,19,19,19,1,851
ASW,23,23,23,1,852
LWK,22,22,22,1,853
LWK,22,22,22,1,854
LWK,22,22,22,1,855
LWK,22,22,22,1,856
ASW,23,23,23,1,857
ASW,23,23,23,1,858
ASW,23,23,23,1,859
ASW,23,23,23,1,860
ASW,23,23,23,1,861
ASW,23,23,23,1,862
ASW,23,23,23,1,863
ESN,13,13,13,1,864
ESN,13,13,13,1,865
ESN,13,13,13,1,866
ESN,13,13,13,1,867
ESN,13,13,13,1,868
MSL,15,15,15,1,869
MSL,15,15,15,1,870
MSL,15,15,15,1,871
MSL,15,15,15,1,872
MSL,15,15,15,1,873
ESN,13,13,13,1,874
ESN,13,13,13,1,875
ESN,13,13,13,1,876
MSL,15,15,15,1,877
MSL,15,15,15,1,878
MSL,15,15,15,1,879
MSL,15,15,15,1,880
MSL,15,15,15,1,881
MSL,15,15,15,1,882
MSL,15,15,15,1,883
ESN,13,13,13,1,884
ESN,13,13,13,1,885
ESN,13,13,13,1,886
ESN,13,13,13,1,887
YRI,19,19,19,1,888
YRI,19,19,19,1,889
YRI,19,19,19,1,890
YRI,19,19,19,1,891
BEB,14,14,14,1,892
TSI,25,25,25,1,893
TSI,25,25,25,1,894
KHV,10,10,10,1,895
PEL,8,8,8,1,896
CDX,5,5,5,1,897
CDX,5,5,5,1,898
PEL,8,8,8,1,899
PEL,8,8,8,1,900
KHV,10,10,10,1,901
KHV,10,10,10,1,902
CDX,5,5,5,1,903
PEL,8,8,8,1,904
PEL,8,8,8,1,905
PEL,8,8,8,1,906
PEL,8,8,8,1,907
PEL,8,8,8,1,908
PEL,8,8,8,1,909
PEL,8,8,8,1,910
CDX,5,5,5,1,911
ACB,11,11,11,1,912
PEL,8,8,8,1,913
PEL,8,8,8,1,914
PEL,8,8,8,1,915
PEL,8,8,8,1,916
PEL,8,8,8,1,917
PEL,8,8,8,1,918
PEL,8,8,8,1,919
PEL,8,8,8,1,920
PEL,8,8,8,1,921
PEL,8,8,8,1,922
PEL,8,8,8,1,923
PEL,8,8,8,1,924
PEL,8,8,8,1,925
CDX,5,5,5,1,926
PEL,8,8,8,1,927
PEL,8,8,8,1,928
KHV,10,10,10,1,929
KHV,10,10,10,1,930
KHV,10,10,10,1,931
